job_title,job_company,job_summary,job_location,job_salary,job_posting_date,today,job_url
Software Developer,Softomatic,"Fast Learner & ability to write quality code.
We're hiring talented and passionate Software Developer to solve problems as we build out our new platform.","Bhilai, Chhattisgarh",,9 days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=60e031492e37c1eb&fccid=169310f849f2e715&vjs=3
Android developer (full stack),Explorista,"Proficient in writing front end logic in Java for corresponding XML design.
Need an expert full stack android developer.
(This is an optional criterion).","Bhilai, Chhattisgarh","₹25,000 - ₹35,000 a month",11 days ago,2021-02-18,https://in.indeed.com/company/Explorista/jobs/Android-Developer-20c9d0eb29b60866?fccid=d8752366cb1a2884&vjs=3
Website Developer,Aon Digicon LLP,"Write well designed, testable, efficient code by using best software development practices.
Create website layout/user interface by using standard HTML/CSS…","Raipur, Chhattisgarh","₹10,000 - ₹15,000 a month",5 days ago,2021-02-18,https://in.indeed.com/company/Aondigicon-LLP/jobs/Website-Developer-d7bb1c296b78f111?fccid=688c2aab9fbf7acd&vjs=3
HIRING FOR ANROID DEVELOPER,Digitizesteps,"Full stack android application developer.
Adobe XD, UI design, Skills, Creative, thinking, java, java rx, XML design, Android studio, MySQL.","Bhilai, Chhattisgarh","₹8,960 - ₹25,735 a month",22 days ago,2021-02-18,https://in.indeed.com/company/Digitizesteps/jobs/Anroid-Developer-30e99f7fbb5f9c0a?fccid=419316efc8243c57&vjs=3
Software / IT Engineer,Sharda Constructions,"He/she should be having experience of online tendering, online payment, preparing various reports and software applications.","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=534e32f720e3cc22&fccid=9788d810d2732044&vjs=3
Android developer (full stack),Explorista,"Proficient in writing front end logic in Java for corresponding XML design.
Need an expert full stack android developer.
(This is an optional criterion).","Bhilai, Chhattisgarh","₹25,000 - ₹35,000 a month",11 days ago,2021-02-18,https://in.indeed.com/company/Explorista/jobs/Android-Developer-20c9d0eb29b60866?fccid=d8752366cb1a2884&vjs=3
Website Developer,Aon Digicon LLP,"Write well designed, testable, efficient code by using best software development practices.
Create website layout/user interface by using standard HTML/CSS…","Raipur, Chhattisgarh","₹10,000 - ₹15,000 a month",5 days ago,2021-02-18,https://in.indeed.com/company/Aondigicon-LLP/jobs/Website-Developer-d7bb1c296b78f111?fccid=688c2aab9fbf7acd&vjs=3
HIRING FOR ANROID DEVELOPER,Digitizesteps,"Full stack android application developer.
Adobe XD, UI design, Skills, Creative, thinking, java, java rx, XML design, Android studio, MySQL.","Bhilai, Chhattisgarh","₹8,960 - ₹25,735 a month",22 days ago,2021-02-18,https://in.indeed.com/company/Digitizesteps/jobs/Anroid-Developer-30e99f7fbb5f9c0a?fccid=419316efc8243c57&vjs=3
Software / IT Engineer,Sharda Constructions,"He/she should be having experience of online tendering, online payment, preparing various reports and software applications.","Raipur, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=534e32f720e3cc22&fccid=9788d810d2732044&vjs=3
Front End Developer,Influenzone Technologies Pvt Ltd,"Experience with graphic design applications such as Adobe Illustrator.
Ensuring user experience determines design choices.
Understanding of server-side CSS.","Raipur, Chhattisgarh","₹8,327 - ₹15,477 a month",1 day ago,2021-02-18,https://in.indeed.com/company/Influenzone-Technologies-Pvt-Ltd/jobs/Front-End-Developer-0a0be2691c0accec?fccid=9b3fe418876fce7b&vjs=3
COLDFUSION DEVELOPER,Arosys,Coordinate with all IT groups and assist all application team to translate all functional requirements to enhance all applications and perform troubleshoot on…,"Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=658238f0a1bc31df&fccid=dc179bf07c38b2bd&vjs=3
Web Application Developer,TechPhant Consulting Group,"Idea about responsive design using Twitter's Bootstrap.
Object oriented programming using PHP (Preferred if they have).
CSS/CSS3: 1 year (Preferred).","Raipur, Chhattisgarh","₹1,91,367 - ₹3,72,236 a year",30+ days ago,2021-02-18,https://in.indeed.com/company/TechPhant-Consulting-Group/jobs/Web-Application-Developer-8d61bc414a3b1fe4?fccid=c1b6af8252074baa&vjs=3
Software Engineer,Ideaxecution,"Software development: 1 year (Preferred).
Freshers are also welcome to apply.
Looking for highly energetic person,.
Salary: ₹5,000.00 - ₹15,000.00 per month.","Bhilai, Chhattisgarh","₹5,000 - ₹15,000 a month",17 days ago,2021-02-18,https://in.indeed.com/company/Ideaxecution/jobs/Software-Engineer-b2c6be040f230659?fccid=f536cfd801871879&vjs=3
Software Developer,Minda Solution Tech Mark,"Excellent command of English both written and spoken.
Ability to communicate effectively with colleagues and Business Users in a professional manner.","Bilaspur, Chhattisgarh","₹1,20,000 - ₹3,50,000 a year",30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=ba127e5787de038a&fccid=26b2effbf203d634&vjs=3
PROJECT ENGINEER - SOFTWARE DEVELOPMENT | IIT Bhilai,Indian Institute of Technology Bhilai,"Collaborate with other developers and engineers to design, build, debug and maintain software.
Develop and implement new software programs.","Raipur, Chhattisgarh","₹6,00,000 - ₹7,20,000 a year",12 days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=9a31fb83c3a08f66&fccid=a2e63534f1f70105&vjs=3
ReactJS Developer,Techment Technology Private Limited,"They will be supported by back-end web developers, who are responsible for server-side application logic and integration of the work front-end developers do.","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/company/Techment-Technology-Private-Limited/jobs/Reactj-Developer-bd1de5b10c472ace?fccid=593ceb202bd6ec75&vjs=3
React Developer,Innodeed Systems,"Developing new user-facing features using React.js.
Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product are…","Bhilai, Chhattisgarh",,30+ days ago,2021-02-18,https://in.indeed.com/rc/clk?jk=ef4ea224d6a93903&fccid=467f9e98a98b1c96&vjs=3
